"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"47",450203,"Morton, Charlie","2021-07-16","107","43.9","0.077","0.077","0.167","0.154","0.177","0.215","0.124","1","13","89.9","-5.8","3017","81.2","81.33","8","19","28","0.1","6.36","111","148","139","134","299","320","300"
"47",621244,"Berríos, José","2021-05-08","104","45.2","0.143","0.286","0.143","0.429","0.331","0.376","0.236","1","7","78.7","-11.9","2327","82.9","82.68","5","19","28","-0.2","6.31","101","148","112","145","295","332","297"
"46",450203,"Morton, Charlie","2021-06-17","112","41.1","0.000","0.000","0.000","0.000","0.111","0.291","0.204","0","11","86.1","18.4","3026","81.1","80.71","9","26","20","-0.4","6.21","105","151","134","137","314","322","291"
"45",450203,"Morton, Charlie","2021-08-31","106","42.5","0.100","0.000","0.143","0.100","0.143","0.273","0.236","1","10","91.1","4.1","3085","81.9","81.45","3","19","26","-0.4","6.16","114","153","139","143","296","317","298"
"45",450203,"Morton, Charlie","2021-06-22","107","42.1","0.000","0.000",,"0.000","0.194","0.194",,"0","8",,,"2949","80.5","79.75","13","18","27","-0.8","6.28","107","149","135","135","290","304","291"
"44",448179,"Hill, Rich","2021-04-15","88","50.0","0.231","0.000","0.273","0.231","0.238","0.239","0.210","3","13","81.7","-3.2","2795","73.1","72.13","3","25","19","-1.0","6.34","102","172","122","152","307","311","292"
"43",450203,"Morton, Charlie","2021-08-13","95","45.3","0.083","0.000","0.143","0.083","0.112","0.126","0.080","1","12","86.3","-15.7","3113","81.8","81.48","10","24","19","-0.3","6.24","99","149","119","147","297","312","293"
"43",607200,"Fedde, Erick","2021-09-25","96","44.8","0.500","0.250","0.500","0.750","0.529","0.443","0.338","4","8","84.6","18.0","2296","80.1","80.36","8","21","22","0.3","6.57","106","146","111","141","293","315","272"
"43",425794,"Wainwright, Adam","2021-06-14","105","41.0","0.100","0.100","0.167","0.200","0.255","0.331","0.245","1","10","86.3","-8.8","2902","74.3","73.69","6","18","25","-0.6","6.38","119","151","119","149","301","313","299"
"43",450203,"Morton, Charlie","2021-06-29","96","44.8","0.091","0.000","0.200","0.091","0.133","0.154","0.106","1","11","79.9","-3.8","3082","80.4","79.86","9","22","21","-0.5","6.18","107","150","140","131","299","322","296"
"42",628711,"Urías, Julio","2021-10-02","92","45.7","0.000","0.000","0.000","0.000","0.058","0.190","0.142","0","11","82.2","10.7","2891","81.9","80.95","6","17","25","-0.9","5.68","120","159","122","147","296","311","293"
"42",448179,"Hill, Rich","2021-05-13","104","40.4","0.250","0.125","0.286","0.375","0.384","0.464","0.372","2","8","88.5","5.0","2800","72.8","71.83","5","15","27","-1.0","6.44","104","152","123","151","300","315","301"
"42",425794,"Wainwright, Adam","2021-08-22","106","39.6","0.091","0.091","0.143","0.182","0.113","0.102","0.103","1","11","86.9","19.1","2902","72.1","71.38","8","20","22","-0.7","6.24","128","175","115","151","292","320","298"
"41",605397,"Musgrove, Joe","2021-08-21","99","41.4","0.000","0.000","0.000","0.000","0.211","0.268","0.067","0","7","86.5","-12.0","2841","82.2","80.98","8","15","26","-1.2","5.93","122","153","145","140","308","320","290"
"41",607200,"Fedde, Erick","2021-09-09","108","38.0","0.143","0.143","0.250","0.286","0.177","0.197","0.197","1","7","81.4","-6.8","2367","80.0","80.10","9","20","21","0.1","6.66","118","167","126","145","305","331","290"
"41",628711,"Urías, Julio","2021-07-21","96","42.7","0.000","0.000","0.000","0.000","0.000","0.055","0.061","0","2","56.8","7.0","2852","81.6","80.68","2","17","24","-0.9","5.58","113","152","115","148","297","309","293"
"41",621244,"Berríos, José","2021-05-15","103","39.8","0.222","0.000","0.286","0.222","0.195","0.235","0.199","2","9","79.0","3.6","2394","83.1","82.98","4","18","23","-0.1","6.26","101","149","116","143","295","336","295"
"41",450203,"Morton, Charlie","2021-09-28","101","40.6","0.111","0.000","0.250","0.111","0.157","0.176","0.126","1","9","82.3","-18.8","3082","80.8","80.50","7","17","24","-0.3","6.31","114","152","124","149","299","326","298"
"40",543475,"Lyles, Jordan","2021-05-28","95","42.1","0.250","0.250","0.400","0.500","0.314","0.170","0.147","3","12","91.5","1.7","2611","79.6","79.93","8","16","24","0.3","6.65","115","155","124","147","295","319","289"
"40",621244,"Berríos, José","2021-05-31","101","39.6","0.167","0.250","0.143","0.417","0.240","0.305","0.203","2","12","85.3","30.5","2386","83.3","82.99","4","15","25","-0.3","6.39","117","159","120","152","299","325","300"
"40",448179,"Hill, Rich","2021-09-25","97","41.2","0.167","0.000","0.333","0.167","0.328","0.366","0.172","1","6","94.7","26.7","2719","72.3","71.32","6","18","22","-1.0","6.02","106","151","106","144","304","313","294"
"40",425794,"Wainwright, Adam","2021-06-20","111","36.0","0.000","0.000","0.000","0.000","0.126","0.231","0.136","0","9","87.0","2.3","2817","74.0","73.60","4","15","25","-0.4","6.38","117","149","123","149","303","309","294"
"39",607200,"Fedde, Erick","2021-09-20","96","40.6","0.222","0.667","0.000","0.889","0.446","0.549","0.285","2","9","94.0","16.7","2316","79.8","79.79","5","17","22","0.0","6.59","114","155","121","145","312","321","285"
"39",425794,"Wainwright, Adam","2021-06-26","102","38.2","0.333","0.000","0.500","0.333","0.293","0.313","0.294","2","6","94.4","35.8","2865","73.2","72.85","2","18","21","-0.3","6.37","117","159","114","150","293","307","297"
"39",425794,"Wainwright, Adam","2021-09-08","104","37.5","0.214","0.000","0.231","0.214","0.188","0.253","0.267","3","14","79.9","-0.1","2822","73.2","72.68","3","19","20","-0.5","6.42","119","162","119","148","298","327","297"
"39",628711,"Urías, Julio","2021-05-02","90","43.3","0.077","0.231","0.000","0.308","0.154","0.288","0.219","1","13","90.1","14.7","2964","82.0","80.73","8","21","18","-1.3","5.55","113","157","127","150","302","319","291"
"39",425794,"Wainwright, Adam","2021-07-21","84","46.4","0.000","0.000","0.000","0.000","0.000","0.118","0.122","0","12","84.3","11.7","2898","74.5","74.22","9","23","16","-0.3","6.46","112","149","110","143","298","317","295"
"39",425794,"Wainwright, Adam","2021-05-29","93","41.9","0.222","0.000","0.333","0.222","0.195","0.184","0.198","2","9","78.7","16.5","2859","74.3","73.61","6","17","22","-0.7","6.35","119","159","117","149","301","316","299"
"39",643290,"Dunn, Justin","2021-04-22","100","39.0","0.250","0.000","0.400","0.250","0.317","0.225","0.110","2","8","82.3","8.8","2529","79.3","79.26","7","15","24","0.0","6.32","106","151","113","145","280","324","312"
"39",450203,"Morton, Charlie","2021-05-13","94","41.5","0.250","0.000","0.333","0.250","0.317","0.342","0.261","2","8","74.1","14.1","3028","79.7","79.22","4","12","27","-0.5","6.19","108","151","118","149","303","323","293"
"39",448179,"Hill, Rich","2021-05-07","79","49.4","0.111","0.000","0.143","0.111","0.098","0.212","0.215","1","9","86.3","11.0","2870","72.8","71.68","5","23","16","-1.1","6.03","102","151","117","145","303","317","291"
"39",621244,"Berríos, José","2021-08-01","95","41.1","0.000","0.000","0.000","0.000","0.000","0.015","0.010","0","6","72.0","-27.0","2382","82.9","82.05","9","21","18","-0.8","6.23","109","156","123","147","295","319","300"
"38",628711,"Urías, Julio","2021-07-08","101","37.6","0.400","0.000","0.500","0.400","0.408","0.447","0.429","2","5","76.3","10.5","2825","80.8","79.39","5","13","25","-1.4","5.60","106","157","120","152","300","318","292"
"38",607200,"Fedde, Erick","2021-08-29","99","38.4","0.333","0.250","0.600","0.583","0.387","0.352","0.279","4","12","81.4","14.5","2300","79.7","79.58","11","21","17","-0.1","6.53","101","152","115","145","294","324","295"
"38",607200,"Fedde, Erick","2021-08-24","103","36.9","0.100","0.000","0.250","0.100","0.088","0.104","0.108","1","10","80.4","40.8","2253","79.6","79.64","9","21","17","0.0","6.58","113","156","118","145","301","326","292"
"38",621244,"Berríos, José","2021-07-06","106","35.8","0.000","0.000","0.000","0.000","0.000","0.023","0.024","0","8","86.9","2.0","2257","82.1","81.41","8","18","20","-0.7","6.21","110","151","111","149","294","323","289"
"38",657053,"Toussaint, Touki","2021-08-05","94","40.4","0.286","0.000","0.333","0.286","0.306","0.360","0.304","2","7","86.3","29.5","2391","75.8","76.54","1","10","28","0.7","6.96","105","151","137","142","299","322","303"
"38",543475,"Lyles, Jordan","2021-06-08","100","38.0","0.333","0.000","0.500","0.333","0.350","0.286","0.212","2","6","86.8","3.5","2730","80.3","80.41","3","17","21","0.1","6.68","116","161","120","150","301","335","297"
"38",666200,"Luzardo, Jesús","2021-10-02","87","43.7","0.273","0.000","0.500","0.273","0.240","0.202","0.216","3","11","86.7","-3.0","2131","83.7","82.38","4","21","17","-1.3","5.33","105","146","111","147","304","307","281"
"38",450203,"Morton, Charlie","2021-08-18","89","42.7","0.000","0.000","0.000","0.000","0.000","0.024","0.023","0","11","76.2","2.8","3048","81.1","80.42","9","19","19","-0.7","6.21","112","152","123","147","301","322","293"
"38",666200,"Luzardo, Jesús","2021-09-20","91","41.8","0.143","0.000","0.200","0.143","0.196","0.222","0.156","1","7","87.1","7.0","2256","83.2","81.88","7","17","21","-1.3","5.43","107","150","118","145","304","315","287"
"38",628711,"Urías, Julio","2021-05-18","92","41.3","0.000","0.000","0.000","0.000","0.000","0.159","0.161","0","8","85.8","33.0","2854","82.4","81.26","9","18","20","-1.1","5.52","112","153","115","153","297","316","297"
"38",605540,"Woodruff, Brandon","2021-07-11","106","35.8","0.000","0.000","0.000","0.000","0.000","0.121","0.134","0","3","68.7","6.5","2672","83.1","83.07","5","11","27","0.0","6.24","106","152","114","148","298","322","296"
"38",628711,"Urías, Julio","2021-09-04","96","39.6","0.333","0.111","0.600","0.444","0.333","0.164","0.167","3","9","84.4","18.6","2912","81.7","80.54","4","20","18","-1.2","5.52","109","155","108","150","297","314","292"
"38",664285,"Valdez, Framber","2021-08-11","100","38.0","0.125","0.000","0.500","0.125","0.178","0.141","0.070","1","8","92.4","12.5","2830","77.4","76.01","8","15","23","-1.4","5.77","105","151","111","151","282","318","290"
"37",605397,"Musgrove, Joe","2021-08-04","99","37.4","0.000","0.000","0.000","0.000","0.000","0.133","0.101","0","8","90.9","0.3","2863","81.3","80.62","5","15","22","-0.7","5.98","100","151","132","139","304","332","291"
"37",664285,"Valdez, Framber","2021-09-04","92","40.2","0.167","0.000","0.250","0.167","0.287","0.279","0.136","1","6","87.6","-2.5","2820","77.9","76.94","3","14","23","-1.0","5.92","114","154","118","148","286","312","286"
"37",425794,"Wainwright, Adam","2021-05-23","101","36.6","0.000","0.000","0.000","0.000","0.000","0.128","0.133","0","10","81.2","-14.8","2853","74.3","73.86","2","15","22","-0.4","6.44","114","161","115","149","302","330","301"
"37",448179,"Hill, Rich","2021-04-09","83","44.6","0.222","0.000","0.250","0.222","0.195","0.101","0.100","2","9","84.2","12.8","2740","72.3","71.34","5","21","16","-1.0","6.28","106","161","120","150","313","334","301"
"37",448179,"Hill, Rich","2021-05-20","90","41.1","0.091","0.000","0.125","0.091","0.211","0.417","0.342","1","11","91.2","11.3","2767","72.4","71.08","5","17","20","-1.3","6.03","97","150","110","147","301","329","286"
"37",607200,"Fedde, Erick","2021-09-14","95","38.9","0.000","0.000","0.000","0.000","0.000","0.083","0.069","0","7","85.4","-0.3","2324","79.3","79.66","9","20","17","0.4","6.59","111","154","132","143","307","317","292"
"37",425794,"Wainwright, Adam","2021-07-06","97","38.1","0.273","0.091","0.300","0.364","0.273","0.328","0.344","3","11","88.8","10.6","2729","73.7","73.51","2","20","17","-0.2","6.34","112","154","112","150","295","323","310"
"37",425794,"Wainwright, Adam","2021-05-09","113","32.7","0.000","0.000","0.000","0.000","0.058","0.292","0.220","0","11","87.8","5.6","2758","73.2","72.31","5","15","22","-0.9","6.37","115","157","120","148","299","318","294"
"37",664285,"Valdez, Framber","2021-07-06","93","39.8","0.125","0.125","0.200","0.250","0.215","0.158","0.095","1","8","75.8","-30.4","2822","77.2","75.86","5","15","22","-1.3","5.81","106","148","112","144","290","323","286"
"37",664285,"Valdez, Framber","2021-07-24","99","37.4","0.000","0.000","0.000","0.000","0.099","0.265","0.210","0","6","85.7","-7.5","2833","76.7","75.50","4","16","21","-1.2","5.81","110","154","120","151","288","318","285"
"37",425794,"Wainwright, Adam","2021-04-08","94","39.4","0.167","0.000","0.333","0.167","0.147","0.222","0.222","1","6","101.5","19.3","2813","73.5","73.04","7","17","20","-0.5","6.45","113","153","118","150","301","327","308"
"37",666200,"Luzardo, Jesús","2021-09-26","82","45.1","0.000","0.000","0.000","0.000","0.115","0.165","0.066","0","5","89.4","29.5","2189","83.8","82.39","7","19","18","-1.4","5.42","108","154","109","151","302","322","279"
"37",450203,"Morton, Charlie","2021-09-11","91","40.7","0.182","0.091","0.286","0.273","0.219","0.186","0.115","2","11","85.3","-8.3","3078","80.6","80.15","6","16","21","-0.5","6.29","110","152","148","133","305","323","296"
"37",425794,"Wainwright, Adam","2021-09-13","103","35.9","0.100","0.000","0.143","0.100","0.143","0.284","0.252","1","10","90.1","18.6","2789","73.3","72.19","6","17","20","-1.1","6.29","116","156","115","148","298","329","307"
"36",628711,"Urías, Julio","2021-04-26","87","41.4","0.000","0.000","0.000","0.000","0.000","0.059","0.068","0","8","87.5","-3.8","2965","81.3","79.93","5","12","24","-1.4","5.47","112","154","117","145","299","311","284"
"36",628711,"Urías, Julio","2021-07-02","87","41.4","0.000","0.000","0.000","0.000","0.000","0.058","0.058","0","5","61.8","-22.3","2903","81.7","80.88","1","13","23","-0.8","5.64","110","159","118","152","304","311","288"
"36",605397,"Musgrove, Joe","2021-09-10","106","34.0","0.091","0.000","0.167","0.091","0.121","0.229","0.194","1","11","84.6","2.2","2894","82.4","81.71","11","23","13","-0.7","5.95","106","148","120","144","311","318","306"
"36",425794,"Wainwright, Adam","2021-06-03","105","34.3","0.333","0.250","0.333","0.583","0.413","0.414","0.301","4","12","84.4","7.9","2924","73.7","73.14","3","17","19","-0.6","6.43","115","158","113","145","296","310","304"
"36",664285,"Valdez, Framber","2021-08-17","99","36.4","0.333","0.222","0.600","0.556","0.408","0.303","0.269","3","9","86.2","-1.4","2902","78.1","77.10","5","17","19","-1.0","5.72","106","154","113","149","297","322","304"
"36",450203,"Morton, Charlie","2021-04-20","99","36.4","0.000","0.000","0.000","0.000","0.000","0.113","0.102","0","10","78.0","7.5","3060","79.5","78.86","7","16","20","-0.6","6.25","110","154","122","152","299","325","291"
"36",425794,"Wainwright, Adam","2021-08-01","85","42.4","0.125","0.000","0.200","0.125","0.110","0.173","0.171","1","8","77.9","0.2","2858","73.3","72.78","5","14","22","-0.5","6.35","116","158","113","146","301","323","299"
"36",450203,"Morton, Charlie","2021-09-23","96","37.5","0.300","0.100","0.600","0.400","0.300","0.265","0.276","3","10","82.5","11.4","3050","81.8","81.27","8","19","17","-0.5","6.16","111","153","139","141","296","330","307"
"36",425794,"Wainwright, Adam","2021-04-26","107","33.6","0.143","0.214","0.111","0.357","0.206","0.266","0.206","2","14","87.4","-0.6","2876","73.4","73.03","9","21","15","-0.4","6.43","123","164","120","152","297","322","310"
"36",669674,"Long, Sam","2021-08-29","90","40.0","0.500","0.625","0.429","1.125","0.667","0.425","0.326","4","8","88.0","28.6","2402","73.8","73.17","3","20","16","-0.6","5.84","112","152","112","148","297","316","295"
"35",450203,"Morton, Charlie","2021-09-18","97","36.1","0.000","0.000","0.000","0.000","0.237","0.400","0.180","0","6","79.6","14.3","3026","81.1","80.79","5","17","18","-0.3","6.26","109","148","123","142","294","318","297"
"35",593334,"Germán, Domingo","2021-05-27","99","35.4","0.000","0.000","0.000","0.000","0.138","0.344","0.240","0","4","93.2","11.7","2577","81.4","81.23","7","16","19","-0.2","6.02","109","157","120","146","307","334","289"
"35",664285,"Valdez, Framber","2021-08-05","107","32.7","0.267","0.067","0.500","0.333","0.310","0.243","0.181","4","15","89.4","3.0","2845","77.1","75.63","9","18","17","-1.5","5.72","105","159","118","150","285","321","289"
"35",571760,"Heaney, Andrew","2021-08-07","109","32.1","0.200","0.600","0.000","0.800","0.489","0.277","0.114","1","5","97.3","22.0","2528","80.4","79.80","4","13","22","-0.6","5.98","114","148","126","138","298","322","289"
"35",643290,"Dunn, Justin","2021-05-04","88","39.8","0.000","0.000","0.000","0.000","0.099","0.100","0.001","0","6","92.7","55.0","2453","79.5","79.53","7","16","19","0.0","6.36","104","148","112","146","303","325","297"
"35",500779,"Quintana, José","2021-05-03","73","47.9","0.222","0.000","0.667","0.222","0.245","0.220","0.181","2","9","83.7","22.3","2331","79.0","79.01","17","23","12","0.0","6.43","114","153","111","166","304","326","301"
"35",450203,"Morton, Charlie","2021-05-25","103","34.0","0.000","0.000","0.000","0.000","0.090","0.281","0.234","0","7","85.7","-6.8","3001","79.9","79.41","6","16","19","-0.5","6.19","113","152","139","143","292","317","303"
"35",621244,"Berríos, José","2021-09-19","100","35.0","0.111","0.333","0.000","0.444","0.223","0.239","0.186","1","9","85.3","-14.2","2284","83.1","82.88","2","10","25","-0.2","6.23","110","153","143","144","294","341","307"
"35",425794,"Wainwright, Adam","2021-07-27","87","40.2","0.083","0.000","0.143","0.083","0.162","0.243","0.170","1","12","89.4","8.4","2774","73.3","72.95","6","17","18","-0.3","6.29","116","157","117","149","297","319","290"
"35",666200,"Luzardo, Jesús","2021-09-03","90","38.9","0.111","0.111","0.167","0.222","0.196","0.264","0.219","1","9","84.0","20.0","2101","82.9","81.63","6","18","17","-1.3","5.43","102","143","108","145","302","314","276"
"34",543475,"Lyles, Jordan","2021-07-03","124","27.4","0.400","0.000","0.500","0.400","0.408","0.546","0.417","2","5","98.1","28.5","2617","80.6","81.01","3","14","20","0.4","6.64","113","158","127","147","294","322","294"
"34",450203,"Morton, Charlie","2021-08-24","88","38.6","0.273","0.545","0.333","0.818","0.445","0.243","0.210","3","11","94.4","21.6","3115","80.9","80.61","5","15","19","-0.3","6.29","108","156","134","148","308","330","297"
"34",680686,"Gray, Josiah","2021-08-25","91","37.4","0.125","0.000","0.333","0.125","0.110","0.122","0.131","1","8","96.5","-3.7","2359","83.4","82.00","13","18","16","-1.4","5.33","113","159","116","143","301","328","298"
"34",571760,"Heaney, Andrew","2021-07-28","104","32.7","0.143","0.000","0.250","0.143","0.196","0.349","0.319","1","7","82.2","5.3","2548","79.1","78.51","9","19","15","-0.6","5.90","109","152","114","148","301","323","295"
"34",448179,"Hill, Rich","2021-05-25","99","34.3","0.273","0.000","0.333","0.273","0.240","0.361","0.324","3","11","87.6","5.3","2800","72.8","71.97","6","16","18","-0.8","6.43","103","152","115","147","304","329","297"
"34",448179,"Hill, Rich","2021-06-23","97","35.1","0.143","0.000","0.167","0.143","0.331","0.363","0.157","1","7","87.8","31.3","2528","70.9","69.80","2","14","20","-1.1","6.25","100","151","121","147","298","318","293"
"34",664285,"Valdez, Framber","2021-09-10","97","35.1","0.286","0.714","0.250","1.000","0.565","0.661","0.352","2","7","98.3","27.4","2908","77.9","76.71","7","14","20","-1.2","5.93","111","156","112","152","282","316","283"
"34",664285,"Valdez, Framber","2021-07-11","91","37.4","0.000","0.000","0.000","0.000","0.173","0.194","0.025","0","6","79.2","-4.0","2847","77.7","76.53","7","12","22","-1.2","5.93","110","155","120","150","295","328","290"
"34",446372,"Kluber, Corey","2021-04-21","91","37.4","0.100","0.000","0.111","0.100","0.131","0.208","0.177","1","10","78.9","28.4","2396","81.4","81.58","2","18","16","0.2","6.44","107","149","122","149","302","329","284"
"34",669203,"Burnes, Corbin","2021-09-11","115","29.6","0.000","0.000","0.000","0.000","0.000","0.193","0.201","0","5","84.4","16.0","2868","81.4","81.50","8","14","20","0.1","6.32","113","155","114","146","289","310","299"
"34",450203,"Morton, Charlie","2021-06-05","94","36.2","0.300","0.000","0.375","0.300","0.305","0.416","0.404","3","10","84.3","5.0","3055","80.8","80.37","6","15","19","-0.4","6.22","110","148","127","147","296","320","295"
"34",450203,"Morton, Charlie","2021-07-04","90","37.8","0.286","0.429","0.250","0.714","0.361","0.574","0.369","2","7","98.5","22.2","3085","80.9","80.21","8","16","18","-0.7","6.19","109","155","124","145","309","315","285"
"33",621244,"Berríos, José","2021-08-07","95","34.7","0.125","0.375","0.000","0.500","0.251","0.229","0.159","1","8","87.0","22.3","2342","82.8","82.24","7","19","14","-0.6","6.21","115","158","119","149","292","317","302"
"33",628711,"Urías, Julio","2021-06-04","83","39.8","0.167","0.000","0.250","0.167","0.224","0.207","0.128","1","6","88.0","14.8","2914","81.1","79.96","1","10","23","-1.1","5.55","106","159","121","150","304","313","290"
"33",425794,"Wainwright, Adam","2021-08-11","88","37.5","0.000","0.000","0.000","0.000","0.000","0.317","0.265","0","8","79.7","22.6","2842","72.3","71.57","2","17","16","-0.7","6.16","121","160","109","152","297","316","294"
